P1,P2,P3,P4,P5
1036.0863889635787,1007.3658601155447,958.4990466928248,968.5782643193767,982.6295426337103
1091.543696698846,976.7987366633268,903.2190861,1015.4092587414934,902.3252207330022
1061.1670663534262,963.7169439224814,911.6642107399983,980.0676132254906,929.0819057364093
1082.6259692268027,971.0778071216184,885.3584948982494,981.7131102655537,937.1159714670762
1081.1962443519437,977.0006460208882,898.4260047301483,997.4364061,946.9164284794934
1066.4020959538868,944.6619607,903.5521431329099,1022.6175958794792,927.3510697479205
1060.1323421693237,955.4953565917959,878.8480530674203,1013.2596197112512,934.2862928312553
1108.7198165931286,943.2895069765755,887.7969094,1028.5446039598703,917.4236739096967
1083.441963066476,984.7767763150066,918.0525229663962,1016.5448735057994,920.2462583663871
1062.6751604564947,988.2776900425888,880.2682357377192,989.1424974899857,903.5973998396402
1102.820008725033,959.1929947632308,895.4859500575649,1003.043566421488,945.0018358063606
1106.8593380388027,953.9101992,914.097147,1003.750822026254,927.3550857278733
1108.188076472184,984.0187780810736,877.2164174947301,981.7040029729222,936.2301180725898
1081.8621600331858,951.0663330974128,891.7909212997628,1011.3803861388817,912.7622242599741
1079.7643193353551,964.7946621498675,900.9730853117003,1023.4510017709645,952.6781705244548
1103.395471463446,990.1560647865762,870.83564,986.2922434806608,930.3827455787784
1085.892255,958.4714512854789,913.7298891,1011.275978602153,932.9211313269011
1079.154842814361,955.0366329444093,896.2725189700025,1024.6305057864056,945.4624383
1104.0065098800637,980.4796888462375,887.8218828872315,983.7517376202388,927.0032332027367
1080.9618783797737,961.3657174494151,903.1731493031955,983.8892833246384,903.2183901300585
1061.1684115790542,956.8047482326987,896.8863421166407,1010.5008507859659,914.8498793636701
1094.3858755771446,954.8571971248297,899.9268072195396,1003.4901671825305,951.8632684758529
1083.6267054831712,976.2283452854199,904.5741199,1003.8645214848522,944.2931188510379
1070.5825333184753,951.0529043106034,902.2756936621445,1025.710114121197,934.9701407587384
1068.6806258493493,986.7391112769196,886.4190992148964,1019.0131945406341,950.9550909832471
1099.6895599792251,954.8985305155649,905.8313861580882,1015.2395791462002,948.2969360985604
1077.716861515264,962.9499850995285,902.2064013696163,1012.8380366028778,949.2942013824969
1075.3498034699724,963.0661173842525,887.6860755351578,986.1782116562003,945.2078963030118
1098.910831947119,940.4754177591049,870.6008005734432,978.8551586173567,913.8783806338163
1099.6733825074634,976.9988100671366,884.4840512171118,986.0427000854652,949.7248394321404
1085.3230187767724,979.1955501,872.2124627163896,1018.8104651133701,934.7045245847213
1100.8047216928776,955.1004126545914,871.7494996915757,986.4120265577424,951.2076127419108
1105.5098017144542,957.9841414436959,885.1092016753482,994.1226123725847,911.0891555973978
1085.0212944364775,955.1838280932382,914.3563096530754,1026.3612645868122,941.2515373
1071.0810948626577,941.1485366218525,901.4908182246039,994.7265706715997,949.1932376127342
1068.3812658938655,973.7349230892702,898.9456149723144,1011.6092492908318,935.8866679498881
1061.2005135271727,986.3105753372673,910.1992205949197,990.2660621806662,915.7831529604265
1076.8057657961058,950.6238503504137,874.0524387605824,1009.865052854071,912.4189898577753
1060.3176835085908,952.0202863721519,912.7937188496244,981.8086899,926.2100188112006
1072.8256920578951,961.4057752,899.4105349199675,1020.7193630079759,942.6373194589166
1104.1567332066923,988.5997684298405,886.9304925147223,989.3341595216493,916.7685722826154
1094.5537208552112,939.2492376237494,870.5401163272697,982.5831754,934.3807895741259
1066.9360162491794,985.6736535,910.4106978624777,1001.868489937085,948.8125463441366
1107.0047425438374,961.1654447772529,885.5805148387662,1011.2718731404665,935.8934012325183
1078.680552168915,965.3543114253584,889.8193574,1018.365765,943.2859899011662
1095.576372677358,941.6457967469258,882.0153439554497,1016.0432861698265,917.5648721204068
1087.0963743314462,975.0525731638667,912.6761638497168,993.2786126688424,947.3109903793045
1101.0980582100724,952.3324522,889.8611302691257,1014.0186382989298,934.0210836439784
1104.1306971054664,949.6759887,902.0766387847194,984.1089089896576,928.6537365479581
1069.2143972551773,945.0390168995314,874.2832583452754,1010.5298966452046,903.2148084
1085.081984,944.5120804338563,900.4945454284341,1004.6861652036715,915.1812590007337
1062.4808042022398,968.1353795606778,879.4842354491828,1004.9773850889203,949.3681089
1109.1345634486472,943.9963141100412,879.1448936090305,1028.3653955657749,945.3774946476094
1093.6082487514557,955.5370933781692,887.2525975556487,1015.4779523935497,913.2324679227604
1067.4662793400453,989.5863189885008,878.5617269,1003.9140902907882,922.9179821582712
1061.6261433543996,947.4868330290186,918.1740678662652,985.1240807659568,904.5970109435078
1092.1027558960507,984.5617048850171,885.7163131146718,989.9165577491235,951.6121343759668
1099.038924241563,942.1552116571211,897.7188137424416,989.7275548,948.9534818258794
1088.6293420508607,982.4998081376655,888.5675180405664,1001.4729915709715,945.1697771617713
1067.6322871278437,962.1332655884869,918.2299638918867,1018.5999130700826,911.9329669987218
1096.458278891672,946.3718879541964,909.7545008752503,998.4821631204927,919.0858780601566
1087.763995535494,960.9578918785834,906.1004684422667,985.3272111598143,931.1693079415232
1065.342724777026,971.3443240148787,881.1787614550134,996.8550187244106,951.7063313774026
1081.5536205868307,966.2088588147827,902.7708419214161,988.0086435131903,913.4502771112061
1086.6192872128543,978.4572869833877,912.1696637277174,979.5886970887518,936.0904830705513
1082.4881736079196,966.7309097020336,899.7863424609691,1004.8924645672689,916.6842231190836
1102.2153665001447,951.8910787295632,915.7080307337809,1028.3472774954757,916.8920787095933
1063.8435032562725,960.6335845064904,870.4495814798327,1017.0465712888813,950.0298418262004
1094.3654300352566,970.2588984322998,915.2203363522096,988.7525950628178,905.8795119
1076.6264112513209,987.9902280574145,896.1526088875158,1018.6580350513319,952.6033775
1071.904443974611,953.6380214581559,891.6471828145088,993.7770268391041,941.9204850385734
1060.6418726486954,990.2378950218904,881.7578009731433,1009.4994050452426,937.3839856400896
1099.8015353982134,947.9127925206199,891.2571817,984.9249484137885,935.6693260390102
1071.3391643963378,980.9252634,911.5579465,1004.8290545524186,913.2275033775878
1079.5109829684914,980.7530881,906.5929258460649,1020.4969138823035,926.1716397167424
1094.9922497514237,948.7941823086888,911.9208436846774,994.3122409448459,924.7263944556923
1085.8015130566923,978.9186510932092,876.4004879906241,1003.5490063434169,947.7081995758317
1097.4729246926372,939.4705504446983,874.3489308411309,988.2643665,913.2986332255007
1076.238000146366,953.4837249005991,878.5747496966634,982.0437113902383,914.2267141779143
1087.5292444702413,985.9192744442264,896.7864002165701,1003.1736596291445,938.4208812622018
1071.6202228797738,952.4980444274855,893.3870184384572,992.9510986,939.0631569126047
1077.7795399502118,953.3478988864174,906.4050818581293,1009.100715887734,939.9053403928759
1078.1276279841009,961.3723509788254,873.4003312817454,1023.5941856320327,926.5006278913224
1081.3063112110901,982.2215523,883.6359418963403,1028.2209871161813,921.2856505264559
1103.7019561355276,986.2577019509081,877.4861028054223,1007.5205018801396,937.4601310442785
1088.1212654009737,974.5646440246576,916.689206,982.8467443060623,926.5452990777901
1091.1041726611447,987.7225829,907.2575853,1020.179773,914.1846096723942
1065.629139143276,951.1232468267285,881.7005420516532,983.9044352,927.2718194468426
1090.0631216017591,974.7093398419172,917.7493148327835,1015.2767960351564,908.5056134453595
1076.5930275933365,985.3306201364238,881.9110833544825,1019.5862896045196,931.7807373711998
1093.3874547631053,955.9635463,873.8276216993122,999.0148755890992,938.2832438505523
1068.3911740969415,970.2422797031261,895.0863641760578,989.4752473436836,932.2046994284107
1088.4325452270086,965.9760164,896.5938451405812,1012.4738936313412,951.7428014778305
1086.305129445071,976.1228028230713,891.0604685,997.3524972806853,948.3441267996445
1107.1620580548938,981.1564770932553,908.9960060759925,1012.7014246565185,910.3195790597113
1091.910473017612,962.4051494290246,910.2217327909885,996.0596893,944.0472826635402
1099.4837405100288,960.7810162,883.9490975460564,993.8855797551674,950.5204814216366
1074.7457295571103,947.8042861929109,915.6759294356292,979.6370180366473,913.627226
1068.3222399574095,944.8937003804498,893.8404114895038,1023.6172686475746,940.5200452989435
1074.2860704685777,948.6926035631105,886.9233085239122,995.6964732804731,919.3645644738286
1109.4281605315412,976.9680013749542,872.4442535363507,998.0377391,948.0044120299306
1080.659052614506,958.3406428081637,906.7930531721643,1006.7711248938206,927.9202625560749
1089.9041350122673,960.0903012401307,898.9326555625307,1014.2405820509683,949.8170847
1092.0745985751823,949.8442395946204,889.7224598,1013.6827288534911,947.6083755756214
1074.2491897659077,965.1926888424812,900.4225613705851,1013.7992911170097,917.3855867762113
1060.7486469497767,965.5793823114458,885.8111875011814,987.9334005660836,915.8904097741529
1090.5439593638484,944.9594296445304,893.6786764520839,1025.647050327528,903.5774813997152
1103.9528745195707,961.9606564,916.3567632,1016.8730378443959,934.2931074179422
1106.259345125302,970.4732726087009,912.7562232792837,986.1931601,941.1487065156418
1093.2016852764862,949.7009778507091,909.7222826229008,1012.5876488011186,946.8381168632096
1086.7924263522964,972.5376027840814,893.7933228832317,984.2819272502941,911.0269985000648
1095.7585528402471,963.2934936753928,899.6537046710182,1023.2145438061632,914.4717230297288
1079.656218794761,952.7300369722677,882.4981680145155,983.0245997351494,933.3145577446624
1086.880463049649,947.0227026810758,873.4137567350997,1018.7724811290724,936.0306735351367
1103.4775613386723,941.5431471897448,879.5507747757874,981.0683420374718,941.0608566882772
1091.6741655550159,982.1342254427465,872.1295243928076,1012.2625349293548,946.6738799312966
1098.4409160129505,986.5421399466688,905.9029014691362,1002.0087305828278,941.9977603399626
1086.9671783040255,942.6476501265446,917.1054382587597,1021.2495661282115,903.9637775646547
1085.7584004364314,983.8636791,885.0846708654005,1019.4343001025403,931.3550718
1078.7332677810734,944.3741563845234,874.8201068,1007.026067057617,919.5605761910844
1086.9140601738427,955.3767372730714,896.1105846042415,991.2066290426828,929.8241237831264
1088.617666715861,981.4908366985395,877.3852900780101,1019.3701488466698,919.6389233962562
1074.674221518703,968.9088099799388,919.0360189,981.0352597563127,920.8032563467241
1060.1552521749377,981.1337222503178,885.4107000369703,1012.2709461049445,946.6442898998217
1067.3038161462068,976.4077749612977,876.0777104264326,998.4932379233388,920.0636268249405
1102.3621631146284,949.8732025980927,908.4120140916485,986.5592470022365,921.2145998821081
1089.7456142435472,978.9026984984554,889.7228181883731,1004.3763470740888,915.681401
1097.863620298266,982.0702327851692,872.4607415,1024.4729208408194,922.9037962084667
1102.827991889972,956.4633118620892,894.9480664,1022.5700225525688,941.3180417311414
1079.6650035926968,976.3264114885856,879.3213895827795,988.3571606988515,911.7856251391722
1102.5196755090287,948.4435515475602,882.7321415612828,1006.8648328102413,945.3146760612723
1074.411722825914,951.4293944687903,876.3403799195801,1006.3014219796704,939.3121272840717
